claimamt,vehage,CC,Length,Weight
71317.92,2,1405,3675,980
27288.0,5,1086,3565,854
80961.84,0,1405,3675,980
45486.0,2,796,3370,750
59616.0,3,1405,3675,980
42652.56,2,796,3370,750
59760.0,4,1948,4505,1820
52800.0,4,1405,3675,980
97546.8,1,1298,4095,875
82320.0,4,1998,4290,1095
37320.0,5,1405,3675,980
49194.0,2,1489,4325,1140
96000.0,6,1997,4800,1498
50400.0,4,1405,3675,980
83640.0,0,1405,3675,980
30000.0,6,1405,3675,980
60725.04,2,1500,3675,980
60480.0,3,1061,3520,885
50400.0,5,1299,4140,978
41760.0,2,796,3335,665
82937.28,0,1405,3675,980
52800.0,4,1910,3827,990
82336.56,0,1405,3675,980
67200.0,1,1086,3565,854
24480.0,6,796,3370,750
108000.0,4,2600,4325,1980
42000.192,3,796,3495,740
57600.0,1,796,3495,740
82764.0,1,1405,3675,980
70056.0,1,1405,3675,980
26400.0,4,796,3370,750
52800.0,3,1405,3675,980
49200.0,5,2523,4260,1615
89200.32,3,1405,4150,1070
80400.0,2,1405,4150,1070
45600.0,4,1061,3520,830
84000.0,3,1299,4140,978
61200.0,2,1405,3675,980
54000.0,4,1405,3675,980
51600.0,2,796,3335,665
48172.32,5,1086,3565,854
33840.0,8,1061,3520,825
91583.04,0,1405,3675,980
38400.0,4,1061,3520,825
101040.0,3,1497,4420,1100
81840.0,1,1086,3565,854
81101.52,1,1405,3675,980
78480.0,1,1405,3675,980
69360.0,1,1405,3675,980
30000.0,7,1061,3520,825
39960.0,5,1086,3565,854
24420.0,7,796,3370,750
38400.0,2,796,3335,665
26400.0,4,796,3335,665
66456.0,0,796,3495,740
36000.0,8,993,3495,875
36000.0,4,796,3370,750
77760.0,4,1493,4420,1100
71999.928,2,1405,3675,980
96000.0,3,1497,4420,1100
48000.0,4,1061,3520,825
84000.0,2,1405,4150,1070
40800.0,4,796,3495,740
74399.976,2,1086,3565,854
50400.0,3,1086,3565,854
57600.0,3,1086,3565,854
38388.0,2,796,3370,750
48000.0,4,1086,3565,854
66000.0,2,1405,3675,980
26400.0,5,796,3335,665
36000.0,5,999,3565,854
26400.0,7,1405,3675,980
28800.0,4,796,3370,750
93600.0,3,1753,4140,978
86184.0,0,1489,4325,1140
36000.0,4,1086,3565,854
